"module name","licenses"
"@babel/code-frame@7.18.6","MIT"
"@babel/helper-validator-identifier@7.19.1","MIT"
"@babel/highlight@7.18.6","MIT"
"@hutson/parse-repository-url@3.0.2","Apache-2.0"
"@lukeed/csprng@1.1.0","MIT"
"@nestjs/axios@3.0.2","MIT"
"@nestjs/common@10.3.0","MIT"
"@nestjs/core@10.3.0","MIT"
"@nuxtjs/opencollective@0.3.2","MIT"
"@openapitools/openapi-generator-cli@2.13.5","Apache-2.0"
"@textlint/ast-node-types@12.2.2","MIT"
"@textlint/markdown-to-ast@12.2.2","MIT"
"@types/mdast@3.0.10","MIT"
"@types/minimist@1.2.2","MIT"
"@types/normalize-package-data@2.4.1","MIT"
"@types/unist@2.0.6","MIT"
"JSONStream@1.3.5","(MIT OR Apache-2.0)"
"add-stream@1.0.0","MIT"
"agent-base@7.1.1","MIT"
"anchor-markdown-header@0.6.0","MIT"
"ansi-escapes@4.3.2","MIT"
"ansi-regex@5.0.1","MIT"
"ansi-styles@3.2.1","MIT"
"ansi-styles@4.3.0","MIT"
"array-ify@1.0.0","MIT"
"arrify@1.0.1","MIT"
"asynckit@0.4.0","MIT"
"axios@1.7.4","MIT"
"bail@1.0.5","MIT"
"balanced-match@1.0.0","MIT"
"base64-js@1.5.1","MIT"
"bl@4.1.0","MIT"
"brace-expansion@1.1.11","MIT"
"buffer@5.7.1","MIT"
"camelcase-keys@6.2.2","MIT"
"camelcase@5.3.1","MIT"
"ccount@1.1.0","MIT"
"chalk@2.4.2","MIT"
"chalk@4.1.0","MIT"
"chalk@4.1.2","MIT"
"character-entities-legacy@1.1.4","MIT"
"character-entities@1.2.4","MIT"
"character-reference-invalid@1.1.4","MIT"
"chardet@0.7.0","MIT"
"cli-cursor@3.1.0","MIT"
"cli-spinners@2.9.2","MIT"
"cli-width@3.0.0","ISC"
"cliui@7.0.4","ISC"
"clone@1.0.4","MIT"
"color-convert@1.9.3","MIT"
"color-convert@2.0.1","MIT"
"color-name@1.1.3","MIT"
"color-name@1.1.4","MIT"
"combined-stream@1.0.8","MIT"
"commander@8.3.0","MIT"
"compare-func@2.0.0","MIT"
"compare-versions@4.1.4","MIT"
"concat-map@0.0.1","MIT"
"concurrently@6.5.1","MIT"
"consola@2.15.3","MIT"
"console.table@0.10.0","MIT"
"conventional-changelog-angular@5.0.13","ISC"
"conventional-changelog-atom@2.0.8","ISC"
"conventional-changelog-cli@2.2.2","MIT"
"conventional-changelog-codemirror@2.0.8","ISC"
"conventional-changelog-conventionalcommits@4.6.3","ISC"
"conventional-changelog-core@4.2.4","MIT"
"conventional-changelog-ember@2.0.9","ISC"
"conventional-changelog-eslint@3.0.9","ISC"
"conventional-changelog-express@2.0.6","ISC"
"conventional-changelog-jquery@3.0.11","ISC"
"conventional-changelog-jshint@2.0.9","ISC"
"conventional-changelog-preset-loader@2.3.4","MIT"
"conventional-changelog-writer@5.0.1","MIT"
"conventional-changelog@3.1.25","MIT"
"conventional-commits-filter@2.0.7","MIT"
"conventional-commits-parser@3.2.4","MIT"
"core-util-is@1.0.2","MIT"
"dargs@7.0.0","MIT"
"date-fns@2.28.0","MIT"
"dateformat@3.0.3","MIT"
"debug@4.3.4","MIT"
"debug@4.3.6","MIT"
"decamelize-keys@1.1.0","MIT"
"decamelize@1.2.0","MIT"
"defaults@1.0.3","MIT"
"delayed-stream@1.0.0","MIT"
"doctoc@2.2.1","MIT"
"dom-serializer@1.4.1","MIT"
"domelementtype@2.3.0","BSD-2-Clause"
"domhandler@4.3.1","BSD-2-Clause"
"domutils@2.8.0","BSD-2-Clause"
"dot-prop@5.3.0","MIT"
"easy-table@1.1.0","MIT"
"emoji-regex@10.1.0","MIT"
"emoji-regex@8.0.0","MIT"
"entities@2.2.0","BSD-2-Clause"
"entities@3.0.1","BSD-2-Clause"
"error-ex@1.3.2","MIT"
"escalade@3.1.1","MIT"
"escape-string-regexp@1.0.5","MIT"
"escape-string-regexp@4.0.0","MIT"
"extend@3.0.2","MIT"
"external-editor@3.1.0","MIT"
"fast-safe-stringify@2.1.1","MIT"
"fault@1.0.4","MIT"
"figures@3.2.0","MIT"
"find-up@2.1.0","MIT"
"find-up@4.1.0","MIT"
"follow-redirects@1.15.6","MIT"
"form-data@4.0.0","MIT"
"format@0.2.2","MIT"
"fs-extra@10.1.0","MIT"
"fs.realpath@1.0.0","ISC"
"function-bind@1.1.1","MIT"
"get-caller-file@2.0.5","ISC"
"get-pkg-repo@4.2.1","MIT"
"git-raw-commits@2.0.11","MIT"
"git-remote-origin-url@2.0.0","MIT"
"git-semver-tags@4.1.1","MIT"
"gitconfiglocal@1.0.0","BSD*"
"glob@7.2.3","ISC"
"graceful-fs@4.2.6","ISC"
"handlebars@4.7.7","MIT"
"hard-rejection@2.1.0","MIT"
"has-flag@3.0.0","MIT"
"has-flag@4.0.0","MIT"
"has@1.0.3","MIT"
"hosted-git-info@2.8.9","ISC"
"hosted-git-info@4.1.0","ISC"
"htmlparser2@7.2.0","MIT"
"https-proxy-agent@7.0.4","MIT"
"iconv-lite@0.4.24","MIT"
"ieee754@1.2.1","BSD-3-Clause"
"indent-string@4.0.0","MIT"
"inflight@1.0.6","ISC"
"inherits@2.0.4","ISC"
"ini@1.3.8","ISC"
"inquirer@8.2.6","MIT"
"is-alphabetical@1.0.4","MIT"
"is-alphanumerical@1.0.4","MIT"
"is-arrayish@0.2.1","MIT"
"is-buffer@2.0.5","MIT"
"is-core-module@2.11.0","MIT"
"is-decimal@1.0.4","MIT"
"is-fullwidth-code-point@3.0.0","MIT"
"is-hexadecimal@1.0.4","MIT"
"is-interactive@1.0.0","MIT"
"is-obj@2.0.0","MIT"
"is-plain-obj@1.1.0","MIT"
"is-plain-obj@2.1.0","MIT"
"is-text-path@1.0.1","MIT"
"is-unicode-supported@0.1.0","MIT"
"isarray@1.0.0","MIT"
"iterare@1.2.1","ISC"
